RAW_WTS,TRIM_WTS,HAPPY_FS,HAPPY_1,HAPPY_2,HAPPY_3,HAPPY_4,ANX_FS,ANX_1,ANX_2,ANX_3,ANX_4,DEP_FS,DEP_1,DEP_2,DEP_3,DEP_4,DEP_5,LONE_FS,LONE_1,LONE_2,LONE_3,LONE_4,LONE_5,SOCANX_FS,SOCANX_1,SOCANX_2,SOCANX_3,CLASS,DISTANCE,GENDER,GENDER_4_TEXT,TRANS,SEX_ORIENT_1,SEX_ORIENT_2,SEX_ORIENT_3,SEX_ORIENT_4,SEX_ORIENT_5,SEX_ORIENT_6,SEX_ORIENT_6_TEXT,RACETHN,ETHNICITY,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,PAREDU,AGE,GPA,MAJOR_0,MAJOR_1,MAJOR_2,MAJOR_3,MAJOR_4,MAJOR_5,MAJOR_6,MAJOR_7,MAJOR_8,MAJOR_9,MAJOR_10,MAJOR_11,MAJOR_12,MAJOR_13,MAJOR_14,MAJOR_15,MAJOR_16,MAJOR_17,MAJOR_18,MAJOR_19,MAJOR_20,MAJOR_21,MAJOR_22,MAJOR_22_TEXT,F1VISA,DISABL_0,DISABL_1,DISABL_2,DISABL_3,DISABL_4,DISABL_5,DISABL_6,DISABL_7,DISABL_8,DISABL_9,DISABL_9_TEXT,FIN_RES_1,FIN_RES_2,FIN_RES_3,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_6_TEXT,NEED,LOANS,OUTCOMES_1,OUTCOMES_4,OUTCOMES_2,OUTCOMES_3,LIFESAT_FS,LIFESAT_1,LIFESAT_2,LIFESAT_3,SELFEST_FS,SELFEST_1,SELFEST_2,SELFEST_3,ACT1_1,ACT1_2,ACT1_3,ACT1_4,ACT1_5,ACT1_6,ACT1_7,ACT1_8,ACT1_9,ACT1_10,ACT1_11,ACT1_12,ACT1_13,ACT1_14,ACT1_15,ACT1_15_TEXT,ACT_FS,ACT2_1,ACT2_2,ACT2_3,ACT2_4,ACT2_5,ACT2_6,ACT2_7,ACT2_8,ACT2_9,ACT2_10,ACAENG_FS,ACAENG_1,ACAENG_2,ACAENG_3,ACAENG_4,ACAENG_5,ACAENG_6,ACAENG_7,ACAENG_8,ACAENG_9,ACAENG_10,ACAENG_11,BELONG_FS,BELONG_1,BELONG_2,BELONG_3,BELONG_4,BELONG_5,BELONG_6,BELONG_7,BELONG_8,BELONG_9,BELONG_10,BELONG_11,BELONG_12,BELONG_13,BDISC_1,BDISC_2,BDISC_3,BDISC_4,BDISC_5,BDISC_6,BDISC_7,MEANING_FS,MEANING_1,MEANING_2,MEANING_3,MEANING_4,MEANING_5,MEANING_6,MEANING_7,MEANING_8,MEANING_9,MEANING_10,MEANING_11,PURP_FS,PURP_1,PURP_2,PURP_3,PURP_4,PURP_5,PURP_6,PURP_7,PURP_8,PURP_9,PURP_10,PURP_11,OPT_FS,OPT_1,OPT_2,OPT_3,PERS_FS,PERS_1,PERS_2,PERS_3,COPING_FS,COPING_1,COPING_2,COPING_3,COPING_4,COPING_5,COPING_6,COPING_7,COPING_8,COPING_9,COPING_10,HEALTH_1,HEALTH_2,HEALTH_3,HEALTH_4,HEALTH_5,HEALTH_6,HEALTH_7,FRIENDS_FS,FRIENDS_1,FRIENDS_2,FRIENDS_3,FRIENDS_4,FRIENDS_5,FRIENDS_6,FRIENDS_7,FRIENDS_8,FRIENDS_9,MILITARY,SPIRIT,FRNSCHL,ABROAD,REGION,HOUSING,RA,INTERN,WORK,AD_FIN_1,AD_FIN_2
0.980615,0.9829945,59.59542,4,4,4,4,33.48414,1,1,2,1,41.00111,1,1,1,1,1,40.03004,1,1,1,1,1,41.29013,1,1,1,Sophomore,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,Black or African American,Not Hispanic or Latino,NA,NA,1,NA,NA,Parents have completed 1 year of college,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,2,2,2,1,NA,Does have need-based aid,1,5,5,3,1,56.2308,5,5,5,64.45355,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,37.21864,2,2,2,4,4,4,5,3,1,5,52.53522,5,5,4,5,5,5,5,4,5,2,4,55.76614,5,5,5,5,2,5,NA,5,5,5,5,5,5,1,1,1,1,1,1,1,56.55282,5,5,5,5,5,5,5,5,5,5,5,49.89278,5,5,5,5,5,5,5,2,5,4,5,64.34584,5,5,6,46.17134,3,5,4,57.9592,3,2,4,5,5,5,5,5,5,4,2,2,3,3,3,2,4,55.46306,5,6,5,4,1,2,2,3,1,1,10,0,1,5,5,2,1,4,3,3
0.8311771,0.8335566,46.51208,3,3,2,2,50.70004,4,3,3,2,47.38643,3,3,1,1,1,47.24958,3,2,3,1,1,48.03806,2,2,1,Sophomore,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,White,Not Hispanic or Latino,NA,NA,NA,NA,1,Parents have completed 1 year of college,20,3.3 - 3.6,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,2,2,1,1,NA,Does have need-based aid,2,6,6,6,1,53.26222,3,5,5,49.5039,4,4,5,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,NA,60.5583,6,5,6,5,5,5,6,5,5,4,35.52449,3,4,2,4,5,5,5,5,5,5,5,55.76614,5,5,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,52.29205,4,4,5,5,5,5,4,5,5,5,5,60.71051,6,6,6,6,6,5,5,3,5,4,4,52.25683,4,3,5,46.17134,3,5,4,54.06005,3,4,2,4,5,5,3,6,6,1,2,3,5,4,5,5,2,51.12167,5,5,5,5,1,5,5,5,1,1,3,0,1,5,3,2,1,3,1,1
0.4033061,0.4056857,38.17658,2,1,2,2,66.94154,5,5,5,5,66.05594,5,5,4,4,2,74.18198,4,5,5,3,5,71.08475,4,5,5,Freshman,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,Two or More Races,Not Hispanic or Latino,NA,1,NA,NA,1,Parents have not completed 1 year of college,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Not on F1 Visa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,3,3,1,1,2,2,1,1,NA,No need-based aid,1,4,5,1,1,26.54864,2,1,3,38.02924,2,3,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,59.46548,6,4,6,6,5,6,4,1,3,5,35.52449,3,4,2,4,2,5,5,2,4,1,1,38.41318,4,4,2,5,5,4,4,6,3,3,2,4,4,1,1,1,1,1,1,1,40.31345,3,4,3,1,3,4,3,3,5,4,4,44.95603,5,4,5,3,1,4,1,5,4,5,3,54.31566,6,4,4,51.59776,2,6,5,33.41125,6,6,6,4,4,6,4,5,5,1,3,3,2,2,5,4,1,48.86219,5,5,4,1,1,1,4,4,3,1,10,0,2,5,9,2,1,1,2,2
2.362573,2.364953,54.35507,3,4,3,4,45.90855,2,2,4,4,47.78143,2,2,1,1,2,50.45125,1,1,5,1,2,41.29013,1,1,1,Senior,Distance Learner ,Male,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,Black or African American,Not Hispanic or Latino,NA,NA,1,NA,NA,Parents have completed 1 year of college,24,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,1,2,2,1,NA,NA,3,6,6,2,1,52.53461,6,4,5,60.97855,6,5,6,1,1,2,2,1,1,2,1,2,1,1,1,1,2,NA,NA,55.543,5,5,5,5,5,5,5,5,5,5,54.20731,5,5,5,5,6,5,5,5,6,6,6,55.76614,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,65.20107,6,NA,6,6,6,6,6,6,6,6,5,60.71051,6,6,6,6,5,6,6,3,6,6,6,56.97278,5,4,5,65.36068,6,6,6,54.0146,3,3,4,6,6,6,6,6,6,4,6,6,6,6,6,6,6,59.26557,6,6,6,6,1,6,6,6,3,1,3,0,2,4,5,2,1,3,1,3
0.8311771,0.8335566,34.69303,1,2,1,1,64.91151,5,5,5,4,53.47794,4,4,3,2,1,41.95509,1,1,2,1,1,51.70855,2,1,5,Senior,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,White,Not Hispanic or Latino,NA,NA,NA,NA,1,Parents have completed 1 year of college,22,3.3 - 3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,2,1,2,1,1,1,NA,No need-based aid,NA,6,6,1,5,37.7208,3,2,5,57.50356,6,4,6,1,1,1,2,1,1,1,2,1,1,1,1,1,1,NA,NA,61.65113,6,6,6,6,5,6,6,6,5,6,63.45053,6,6,5,6,6,6,6,6,5,3,6,63.11294,5,6,6,6,3,6,6,5,6,6,5,6,4,1,1,1,1,1,1,1,54.03576,5,4,5,3,5,6,6,6,5,6,4,49.89278,5,5,5,5,6,6,4,3,6,6,5,47.45564,4,3,4,62.22863,6,6,5,35.40627,6,6,5,3,6,5,6,4,5,1,6,3,6,6,6,6,5,59.26557,6,6,6,4,1,6,4,6,1,1,11,0,2,5,6,2,1,1,2,3
0.6971734,0.699553,42.61894,2,2,3,1,41.84849,2,2,2,2,43.89996,1,2,4,2,1,48.04553,5,2,2,1,2,58.51124,2,5,2,Senior,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,Asian,Not Hispanic or Latino,NA,1,NA,NA,NA,Parents have not completed 1 year of college,24,3.0 - 3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,2,1,1,1,NA,NA,NA,NA,6,5,6,1,54.70471,2,6,4,61.30719,5,6,6,2,2,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,50.1263,5,3,4,5,4,4,5,6,5,3,47.71533,5,4,4,5,4,4,5,3,4,1,4,46.44846,4,4,4,5,4,5,3,4,6,3,3,4,5,1,1,1,1,1,1,1,56.55282,5,5,5,5,3,4,5,5,6,5,4,52.9683,5,5,6,4,5,5,6,2,3,5,4,55.17128,4,6,4,43.87696,4,4,4,35.40627,6,6,5,5,4,3,3,4,4,1,4,6,5,5,6,6,4,40.7183,4,4,3,3,4,4,5,5,4,1,1,NA,3,1,11,2,1,1,3,1
1.526916,1.529296,37.24783,2,2,1,1,52.97303,4,2,4,5,57.7544,4,3,1,1,3,45.32453,1,2,2,1,1,48.82314,1,3,2,Senior,Distance Learner ,Male,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,White,Not Hispanic or Latino,NA,NA,NA,NA,1,Parents have completed 1 year of college,25,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,2,1,NA,NA,NA,2,6,6,6,3,30.95971,3,2,2,42.55391,4,2,5,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,NA,55.543,5,5,5,5,5,3,3,5,1,6,31.10115,2,4,2,3,4,5,5,3,1,2,4,42.50668,2,4,4,4,3,4,5,5,4,4,4,3,3,1,1,1,1,2,1,1,41.17012,2,3,4,4,2,4,4,3,4,1,4,34.1383,4,3,4,4,3,4,3,4,3,4,4,33.65038,1,2,3,33.60944,2,3,4,54.41646,4,3,3,4,3,5,3,4,3,6,3,5,3,4,4,4,2,51.12167,5,5,5,4,4,3,4,4,3,1,9,NA,2,5,9,2,3,4,2,1
0.8311771,0.8335566,55.77632,4,4,3,3,46.39575,3,2,4,3,50.57909,4,3,1,1,1,40.03004,1,1,1,1,1,41.29013,1,1,1,Junior,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,White,Not Hispanic or Latino,NA,NA,NA,NA,1,Parents have completed 1 year of college,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,psychology,Not on F1 Visa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,NA,NA,NA,NA,6,6,1,1,56.2308,5,5,5,56.12525,5,5,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA,31.11051,1,1,1,1,1,5,1,1,1,1,54.20731,5,5,5,5,5,5,5,5,6,2,4,55.76614,5,5,5,5,1,5,5,1,5,5,5,5,5,1,1,1,1,2,1,1,56.55282,5,5,5,5,5,5,5,5,5,5,5,60.71051,6,6,6,6,6,6,6,6,6,6,6,59.54465,5,5,5,54.61882,5,5,5,48.47683,4,4,4,5,5,5,5,5,5,1,5,5,2,5,5,4,2,51.12167,5,5,5,5,1,5,5,5,1,1,3,0,2,5,9,2,1,1,1,1
0.980615,0.9829945,50.33118,3,3,3,3,47.93858,2,2,5,5,47.38643,3,3,1,1,1,43.88014,1,1,3,1,1,41.29013,1,1,1,Senior,Distance Learner ,Female,NA,Cisgender,NA,NA,NA,1,NA,NA,NA,Black or African American,Not Hispanic or Latino,NA,NA,1,NA,NA,Parents have completed 1 year of college,21,3.3 - 3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,Criminal Justice,Not on F1 Visa,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,1,1,2,2,2,NA,NA,No need-based aid,3,6,6,1,3,47.31234,4,4,4,54.3572,5,4,6,1,1,2,1,1,2,1,1,2,1,1,1,1,1,NA,NA,61.65113,6,6,6,6,6,6,6,5,5,6,63.45053,6,6,5,6,6,6,6,4,6,6,6,55.76614,5,5,5,6,2,5,5,6,5,5,4,5,6,1,1,1,1,1,1,1,58.29653,6,5,5,6,5,6,5,6,6,6,5,60.71051,6,6,6,6,6,6,6,4,6,6,5,62.11653,5,6,5,62.70297,5,6,6,61.5474,2,2,3,6,6,6,5,6,6,1,4,5,4,5,5,5,4,52.6647,6,5,5,4,1,6,5,5,1,1,3,0,1,5,11,2,4,3,1,1
1.633823,1.636203,31.80269,1,1,1,1,63.12445,5,4,5,5,51.36908,2,5,4,1,3,53.5021,4,1,3,5,3,49.1883,1,2,4,Junior,Distance Learner ,Male,NA,Cisgender,1,NA,NA,NA,NA,NA,NA,Hispanic or Latino,Hispanic or Latino,NA,NA,NA,NA,NA,Parents have not completed 1 year of college,22,3.0 - 3.2.0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not on F1 Visa,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,1,2,2,1,1,1,NA,Does have need-based aid,NA,6,6,6,1,39.20509,4,2,5,47.79695,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,31.11051,1,1,1,5,1,1,5,1,1,6,48.11188,4,5,4,4,4,5,2,1,5,1,1,40.53579,1,4,4,4,5,4,4,1,1,1,2,4,1,1,1,1,1,1,1,1,47.06092,1,4,5,1,2,2,5,5,4,1,4,49.89278,5,5,5,4,1,5,1,1,4,1,4,35.28139,4,2,2,32.29742,2,4,2,39.35087,6,5,5,1,1,2,5,2,2,1,1,1,6,5,5,6,1,48.86219,5,5,4,1,1,2,2,5,1,1,2,0,2,5,11,2,1,4,1,1
